0- Alsaeuchip
1- BananaKick
2- Bigpie
3- CaramelCornMaple
4- Chamssalseolbyeong
5- Chamssalseongwa
6- Cheetos
7- Chilsungcider
8- Chocopie
9- Chocosongee
10- Chokchokhanchocochip
11- Cocacola
12- Cornchips
13- Fanta_Grape
14- Fanta_Orange
15- Fanta_Pineapple
16- Gamjakkang
17- Gogumakkang
18- Goraebap
19- Homerunball
20- Honeybutterchip
21- Hotsix
22- Jagalchi
23- Jjanggu
24- JollyPong
25- Kancho
26- Kaseutadeu
27- Kkobugchip
28- Kkochgelang
29- Kkulkkwabaegi
30- KokkalCorn
31- KokkalCorn_spicysweet
32- Konchi
33- Koncho
34- Lemonade
35- Letsbe
36- Matdongsan
37- Meoktaekkang
38- Milkis
39- Nacho_SourOnion
40- Nuneulgamja
41- Ogamja
42- Oksusukkang
43- Oksususuyeomcha
44- Oreo
45- Pepero
46- PeperoAlmond
47- PeperoNude
48- PeperoWhitecookie
49- Pocarisweat
50- Pokachip_Onion
51- Pokachip_Original
52- Postick
53- Potatochip
54- Powerade
55- Saeukkang
56- Saeukkang_Spicy
57- Sprite
58- Squidhouse
59- Sunchip
60- Swingchip
61- Toreta
62- Welchs_Grape
63- Yangpakkang
64- Yangpaling
65- baghasf
66- bita500
67- boxx
68- dechu
69- emeyamuljomdao
70- senggang
